TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
DTCY3;5,80;;156,32;-116,96;5,76;18,63;-3,18;4,02;-197,43;-278,09;-2,38;;6,28;-49,89;-10,25;0,79;-74,82;3,69;-55,05;-0,05;1,05;0,92;-9,85;-33,48;3.058,29;-0,05;0,04;-1,46;90.157.763,80
DTCY4;62,60;;1.687,19;-1.262,33;62,22;18,63;-3,18;4,02;-2.130,91;-278,09;-2,38;;67,83;-538,49;-110,59;0,79;-74,82;3,69;-55,05;-0,05;1,05;0,92;-9,85;-33,48;;-0,05;0,04;-15,72;90.157.763,80
DXCO3;8,59;3,95;10,37;1,19;0,45;34,61;17,59;8,43;4,97;7,80;2,86;0,68;0,87;3,90;-0,66;1,58;11,45;4,35;11,24;0,38;0,61;0,52;16,29;29,75;38.587.118,93;7,24;0,83;-0,17;7.007.635.740,84
EALT3;8,55;;5,56;0,91;0,37;21,92;11,20;7,22;3,58;5,58;2,02;0,51;0,40;-18,94;-0,58;0,95;16,29;6,66;14,35;0,41;0,59;0,92;23,92;2,47;5.874,21;9,44;1,54;-0,34;190.972.500,00
EALT4;8,44;;5,49;0,89;0,37;21,92;11,20;7,22;3,54;5,58;2,02;0,51;0,40;-18,69;-0,57;0,95;16,29;6,66;14,35;0,41;0,59;0,92;23,92;2,47;126.956,79;9,44;1,54;-0,34;190.972.500,00
ECOR3;6,96;0,11;14,15;2,01;0,25;33,56;27,98;5,25;2,65;8,40;5,75;4,34;0,74;-5,48;-0,29;0,76;14,17;1,78;9,54;0,13;0,86;0,34;14,60;-2,69;36.225.459,45;3,47;0,49;0,89;4.846.486.199,04
ECPR3;90,25;;-9,87;1,21;0,62;;;;-17,12;-17,09;0,08;-0,01;;174,62;-0,62;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
ECPR4;90,74;;-9,92;1,22;0,62;;;;-17,21;-17,09;0,08;-0,01;;175,57;-0,63;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
EEEL3;294,77;;3,27;1,53;0,56;59,51;80,32;66,44;2,70;3,40;0,68;0,39;2,17;3,44;-0,77;2,45;46,84;17,10;26,57;0,37;0,63;0,26;6,73;17,15;;192,68;90,25;0,01;2.864.486.063,75
EEEL4;410,00;;4,54;2,13;0,78;59,51;80,32;66,44;3,76;3,40;0,68;0,39;3,02;4,78;-1,07;2,45;46,84;17,10;26,57;0,37;0,63;0,26;6,73;17,15;;192,68;90,25;0,01;2.864.486.063,75
